map_name,planner_name,planner_policy,frontier_policy,seed,success,stop_reason,steps,runtime_seconds,coverage,path_length,raw_path_length,smoothed_path_length,path_turn_count,collisions,replans,replan_triggers,recovery_events,disturbance_name,disturbance_events,range_noise_std,dropout_prob,pose_noise_std,explored_cells,known_cells,coverage_history
empty,astar,single,naive,1,False,planner_failed,50,5.316387399998348,0.65,5.229771428805705,5.6911688245431415,5.584222893289654,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2340,2340,"[0.2872222222222222, 0.3061111111111111, 0.31527777777777777, 0.32611111111111113, 0.33555555555555555, 0.3422222222222222, 0.35194444444444445, 0.3597222222222222, 0.3675, 0.37805555555555553, 0.38472222222222224, 0.39416666666666667, 0.4036111111111111, 0.41083333333333333, 0.4216666666666667, 0.42833333333333334, 0.43694444444444447, 0.4469444444444444, 0.45416666666666666, 0.46555555555555556, 0.4727777777777778, 0.48194444444444445, 0.49194444444444446, 0.4988888888888889, 0.5108333333333334, 0.5197222222222222, 0.5291666666666667, 0.5405555555555556, 0.5477777777777778, 0.5580555555555555, 0.5613888888888889, 0.5644444444444444, 0.5686111111111111, 0.5711111111111111, 0.5738888888888889, 0.5791666666666667, 0.5816666666666667, 0.5894444444444444, 0.5916666666666667, 0.595, 0.5983333333333334, 0.6013888888888889, 0.6086111111111111, 0.6125, 0.6161111111111112, 0.6197222222222222, 0.6280555555555556, 0.6347222222222222, 0.6422222222222222, 0.65]"
empty,astar,single,information_gain,1,False,planner_failed,50,4.266764399999374,0.65,5.229771428805705,5.6911688245431415,5.584222893289654,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2340,2340,"[0.2872222222222222, 0.3061111111111111, 0.31527777777777777, 0.32611111111111113, 0.33555555555555555, 0.3422222222222222, 0.35194444444444445, 0.3597222222222222, 0.3675, 0.37805555555555553, 0.38472222222222224, 0.39416666666666667, 0.4036111111111111, 0.41083333333333333, 0.4216666666666667, 0.42833333333333334, 0.43694444444444447, 0.4469444444444444, 0.45416666666666666, 0.46555555555555556, 0.4727777777777778, 0.48194444444444445, 0.49194444444444446, 0.4988888888888889, 0.5108333333333334, 0.5197222222222222, 0.5291666666666667, 0.5405555555555556, 0.5477777777777778, 0.5580555555555555, 0.5613888888888889, 0.5644444444444444, 0.5686111111111111, 0.5711111111111111, 0.5738888888888889, 0.5791666666666667, 0.5816666666666667, 0.5894444444444444, 0.5916666666666667, 0.595, 0.5983333333333334, 0.6013888888888889, 0.6086111111111111, 0.6125, 0.6161111111111112, 0.6197222222222222, 0.6280555555555556, 0.6347222222222222, 0.6422222222222222, 0.65]"
empty,hybrid,fallback_rrt,naive,1,False,planner_failed,50,9.625064800002292,0.65,5.229771428805705,5.6911688245431415,5.584222893289654,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2340,2340,"[0.2872222222222222, 0.3061111111111111, 0.31527777777777777, 0.32611111111111113, 0.33555555555555555, 0.3422222222222222, 0.35194444444444445, 0.3597222222222222, 0.3675, 0.37805555555555553, 0.38472222222222224, 0.39416666666666667, 0.4036111111111111, 0.41083333333333333, 0.4216666666666667, 0.42833333333333334, 0.43694444444444447, 0.4469444444444444, 0.45416666666666666, 0.46555555555555556, 0.4727777777777778, 0.48194444444444445, 0.49194444444444446, 0.4988888888888889, 0.5108333333333334, 0.5197222222222222, 0.5291666666666667, 0.5405555555555556, 0.5477777777777778, 0.5580555555555555, 0.5613888888888889, 0.5644444444444444, 0.5686111111111111, 0.5711111111111111, 0.5738888888888889, 0.5791666666666667, 0.5816666666666667, 0.5894444444444444, 0.5916666666666667, 0.595, 0.5983333333333334, 0.6013888888888889, 0.6086111111111111, 0.6125, 0.6161111111111112, 0.6197222222222222, 0.6280555555555556, 0.6347222222222222, 0.6422222222222222, 0.65]"
empty,hybrid,fallback_rrt,information_gain,1,False,planner_failed,50,9.713481800001318,0.65,5.229771428805705,5.6911688245431415,5.584222893289654,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2340,2340,"[0.2872222222222222, 0.3061111111111111, 0.31527777777777777, 0.32611111111111113, 0.33555555555555555, 0.3422222222222222, 0.35194444444444445, 0.3597222222222222, 0.3675, 0.37805555555555553, 0.38472222222222224, 0.39416666666666667, 0.4036111111111111, 0.41083333333333333, 0.4216666666666667, 0.42833333333333334, 0.43694444444444447, 0.4469444444444444, 0.45416666666666666, 0.46555555555555556, 0.4727777777777778, 0.48194444444444445, 0.49194444444444446, 0.4988888888888889, 0.5108333333333334, 0.5197222222222222, 0.5291666666666667, 0.5405555555555556, 0.5477777777777778, 0.5580555555555555, 0.5613888888888889, 0.5644444444444444, 0.5686111111111111, 0.5711111111111111, 0.5738888888888889, 0.5791666666666667, 0.5816666666666667, 0.5894444444444444, 0.5916666666666667, 0.595, 0.5983333333333334, 0.6013888888888889, 0.6086111111111111, 0.6125, 0.6161111111111112, 0.6197222222222222, 0.6280555555555556, 0.6347222222222222, 0.6422222222222222, 0.65]"
office,astar,single,naive,1,False,planner_failed,46,3.090065100001084,0.44125,4.8184331638532925,5.208326112068523,5.151767361255979,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2118,2118,"[0.21208333333333335, 0.23375, 0.23833333333333334, 0.24541666666666667, 0.25, 0.25604166666666667, 0.264375, 0.2675, 0.27520833333333333, 0.28270833333333334, 0.28541666666666665, 0.2889583333333333, 0.293125, 0.298125, 0.30291666666666667, 0.3075, 0.3129166666666667, 0.31645833333333334, 0.31916666666666665, 0.32208333333333333, 0.3279166666666667, 0.330625, 0.33395833333333336, 0.33916666666666667, 0.34729166666666667, 0.35541666666666666, 0.36291666666666667, 0.36541666666666667, 0.37375, 0.3825, 0.3829166666666667, 0.3875, 0.38916666666666666, 0.3935416666666667, 0.395, 0.405625, 0.41083333333333333, 0.4214583333333333, 0.426875, 0.429375, 0.43083333333333335, 0.43604166666666666, 0.43916666666666665, 0.44083333333333335, 0.44125, 0.44125]"
office,astar,single,information_gain,1,False,planner_failed,46,3.681819599998562,0.44125,4.8184331638532925,5.208326112068523,5.151767361255979,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2118,2118,"[0.21208333333333335, 0.23375, 0.23833333333333334, 0.24541666666666667, 0.25, 0.25604166666666667, 0.264375, 0.2675, 0.27520833333333333, 0.28270833333333334, 0.28541666666666665, 0.2889583333333333, 0.293125, 0.298125, 0.30291666666666667, 0.3075, 0.3129166666666667, 0.31645833333333334, 0.31916666666666665, 0.32208333333333333, 0.3279166666666667, 0.330625, 0.33395833333333336, 0.33916666666666667, 0.34729166666666667, 0.35541666666666666, 0.36291666666666667, 0.36541666666666667, 0.37375, 0.3825, 0.3829166666666667, 0.3875, 0.38916666666666666, 0.3935416666666667, 0.395, 0.405625, 0.41083333333333333, 0.4214583333333333, 0.426875, 0.429375, 0.43083333333333335, 0.43604166666666666, 0.43916666666666665, 0.44083333333333335, 0.44125, 0.44125]"
office,hybrid,fallback_rrt,naive,1,False,planner_failed,46,3.686499499999627,0.44125,4.8184331638532925,5.208326112068523,5.151767361255979,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2118,2118,"[0.21208333333333335, 0.23375, 0.23833333333333334, 0.24541666666666667, 0.25, 0.25604166666666667, 0.264375, 0.2675, 0.27520833333333333, 0.28270833333333334, 0.28541666666666665, 0.2889583333333333, 0.293125, 0.298125, 0.30291666666666667, 0.3075, 0.3129166666666667, 0.31645833333333334, 0.31916666666666665, 0.32208333333333333, 0.3279166666666667, 0.330625, 0.33395833333333336, 0.33916666666666667, 0.34729166666666667, 0.35541666666666666, 0.36291666666666667, 0.36541666666666667, 0.37375, 0.3825, 0.3829166666666667, 0.3875, 0.38916666666666666, 0.3935416666666667, 0.395, 0.405625, 0.41083333333333333, 0.4214583333333333, 0.426875, 0.429375, 0.43083333333333335, 0.43604166666666666, 0.43916666666666665, 0.44083333333333335, 0.44125, 0.44125]"
office,hybrid,fallback_rrt,information_gain,1,False,planner_failed,46,4.496234700000059,0.44125,4.8184331638532925,5.208326112068523,5.151767361255979,1,0,1,3,0,temporary_block,1,0.01,0.02,0.01,2118,2118,"[0.21208333333333335, 0.23375, 0.23833333333333334, 0.24541666666666667, 0.25, 0.25604166666666667, 0.264375, 0.2675, 0.27520833333333333, 0.28270833333333334, 0.28541666666666665, 0.2889583333333333, 0.293125, 0.298125, 0.30291666666666667, 0.3075, 0.3129166666666667, 0.31645833333333334, 0.31916666666666665, 0.32208333333333333, 0.3279166666666667, 0.330625, 0.33395833333333336, 0.33916666666666667, 0.34729166666666667, 0.35541666666666666, 0.36291666666666667, 0.36541666666666667, 0.37375, 0.3825, 0.3829166666666667, 0.3875, 0.38916666666666666, 0.3935416666666667, 0.395, 0.405625, 0.41083333333333333, 0.4214583333333333, 0.426875, 0.429375, 0.43083333333333335, 0.43604166666666666, 0.43916666666666665, 0.44083333333333335, 0.44125, 0.44125]"
